,Compound,Date,Negative,Neutral,Positive,Tweet Text,Tweets Ago,User
0,0.0,2018-06-26 21:20:15+00:00,1.0,0.0,0.0,"RT @BBC6Music: Did @kanyewest and @theweeknd ""blatantly"" rip off @nineinchnails' live show?

Weds, Noon BST: Nine Inch Nails' @trent_reznor…",1,@bbc
1,0.0,2018-06-26 19:05:08+00:00,1.0,0.0,0.0,"😎🔥🍦 Hot temperatures in the UK are expected to last until the weekend.
👉 https://t.co/ZhZVaKJuqf

#HeatwaveUK https://t.co/smTw2ule2v",2,@bbc
2,0.296,2018-06-26 18:03:06+00:00,0.792,0.074,0.134,"Tonight, @itsanitarani and @bbcnickrobinson ask tough questions about the NHS in a special live event. 

 NHS at 70… https://t.co/Wu4ECf7qic",3,@bbc
3,0.0,2018-06-26 17:02:02+00:00,1.0,0.0,0.0,How would you feel if the builder only made you half a house? https://t.co/yaWB0USzex,4,@bbc
4,0.0,2018-06-26 16:33:41+00:00,1.0,0.0,0.0,"RT @bbcwritersroom: Tomorrow, Wednesday 27th June is #NationalWritingDay! @writeday

As part of the events we're running a live Twitter Q&amp;A…",5,@bbc
5,0.0,2018-06-26 16:00:15+00:00,1.0,0.0,0.0,🍅 You can grow tomatoes in Iceland?!   https://t.co/ndmcf1SL8y,6,@bbc
6,0.0,2018-06-26 14:52:03+00:00,1.0,0.0,0.0,"RT @BBCWales: #ToProvideAllPeople: A star-studded film written by @OwenSheers to mark #NHS70.

Starring @MichaelSheen, @TeamEveMyles, @Pack…",7,@bbc
7,0.836,2018-06-26 14:32:33+00:00,0.683,0.0,0.317,"RT @BBCRadio2: To celebrate the anniversary of 1988's second Summer of Love, @djgarydavies, @ZoeTheBall, and @MsAnaMatronic are heading to…",8,@bbc
8,0.611,2018-06-26 13:12:16+00:00,0.818,0.0,0.182,"RT @BBCR1: Happy Birthday, @ArianaGrande! 🎈✨

Here's a throwback to her offering some 10/10 relationship advice to callers on @R1Breakfast…",9,@bbc
9,0.0,2018-06-26 12:58:04+00:00,1.0,0.0,0.0,"🚄😽🎀 Japan has unveiled a pink bullet train themed around the cartoon character #HelloKitty.
👉… https://t.co/uPA1cevSHt",10,@bbc
10,0.527,2018-06-26 12:02:04+00:00,0.673,0.0,0.327,"Activist
Poet
Director
Actor
Writer...

...and inspiration https://t.co/oOpo1fJV5K",11,@bbc
11,0.0,2018-06-26 11:02:03+00:00,1.0,0.0,0.0,"🍕💐 Would you say 'I dough' to this pizza bouquet?
👉 https://t.co/HqnBOtPZlN https://t.co/BJqFMcpWKv",12,@bbc
12,0.0,2018-06-26 09:30:00+00:00,1.0,0.0,0.0,"🌍♻️💥👊
What will your #PlasticsAction be? https://t.co/QQ1ZBgNyZN",13,@bbc
13,-0.273,2018-06-26 08:00:16+00:00,0.861,0.139,0.0,Turns out you're biased in all sorts of ways you may not realise. https://t.co/yZ0ziOfX2L,14,@bbc
14,-0.772,2018-06-26 07:26:08+00:00,0.705,0.295,0.0,"Seabirds are starving to death on the remote Lord Howe Island, a crew filming for the @BBCOne documentary… https://t.co/XHDOBZn5Yb",15,@bbc
15,0.599,2018-06-26 07:00:12+00:00,0.738,0.0,0.262,💕 Julie is the childcare champion in the heart of the Gorbals. https://t.co/LcdEhzyTBG,16,@bbc
16,0.361,2018-06-25 18:03:04+00:00,0.815,0.0,0.185,✨ These women are ditching their straighteners and embracing their natural hair. https://t.co/BTgEiHth2E,17,@bbc
17,0.0,2018-06-25 17:31:08+00:00,1.0,0.0,0.0,Two teams of junior doctors from teaching hospitals around Britain go head to head in a medical-themed quiz show. 🏥… https://t.co/1z99Ax1RcK,18,@bbc
18,0.273,2018-06-25 16:02:03+00:00,0.769,0.0,0.231,"🙌😂 Well, that escalated quickly.
#HearHer #LiveAtTheApollo  https://t.co/4Bfa81zCSI",19,@bbc
19,-0.552,2018-06-25 15:01:34+00:00,0.771,0.229,0.0,RT @BBCTwo: SO much tension between Louis and the Queen! 😬👑🇫🇷 #Versailles https://t.co/mT2tDG3Hen,20,@bbc
20,0.318,2018-06-25 14:57:32+00:00,0.839,0.0,0.161,RT @BBCTwo: brb just gonna pop inside for some fresh air... ☀️😰 https://t.co/rlTBirEDF2,21,@bbc
21,0.542,2018-06-25 13:48:41+00:00,0.836,0.0,0.164,"RT @bbcarts: If you’re from the North this will make you well up with pride. ❤️
@lemnsissay delivers an impassioned reading of the poem he…",22,@bbc
22,0.636,2018-06-25 13:03:07+00:00,0.656,0.0,0.344,"🐶😍 They're all beautiful in our eyes! 
#WorldsUgliestDog https://t.co/qrQgVqtwt4",23,@bbc
23,0.572,2018-06-25 12:04:05+00:00,0.802,0.0,0.198,🙌💪 @ChelseaClinton says it's time we rethink gender stereotypes and work harder to celebrate women. https://t.co/xgejAk33oK,24,@bbc
